2018-01-29,招商证券,300718,长盛轴承,长盛轴承(300718)调研报告：自润滑轴承的明日之星-180126,webcache\20180130\webcache-20180302224621.html,51pdf,
2018-01-29,东吴证券,002709,天赐材料,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002812,创新股份,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300124,汇川技术,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300274,阳光电源,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300568,星源材质,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,600406,国电南瑞,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,600452,涪陵电力,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,600525,长园集团,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,600884,杉杉股份,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,600885,宏发股份,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,601012,隆基股份,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,601222,林洋能源,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,601877,正泰电器,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,603799,华友钴业,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002074,国轩高科,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002202,金风科技,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002460,赣锋锂业,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002466,天齐锂业,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002709,天赐材料,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,002812,创新股份,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300124,汇川技术,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300274,阳光电源,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,东吴证券,300568,星源材质,"   
    建议关注标的:隆基股份(单晶需求超预期旺盛、超预期扩产、电站储备利润、18年高增长)、正泰电器(低压电器龙头随固定资产投资复苏、户用光伏龙头提供业绩弹性)、阳光电源(光伏行业超预期、户用分布式龙头、预计年报超预期)、金风科技(风电行业下半年恢复增长且明年增长较好、优质低估值龙头标的)、林洋能源(最大的分布式光伏电站运营商,业绩高增长确定性强)、汇川技术(通用变频/伺服今年持续超预期、电动车电控布局长远)、宏发股份(通用和汽车继电器超预期增长、Tesla和汽车电子新龙头)、国电南瑞(中国制造2025电力装备龙头企业,低估值国企改革标的)、华友钴业(钴价重启涨势钴龙头、锂电新材料全方位布局,三季报超预期)、天齐锂业(碳酸锂价格稳中略升、优质锂矿资源和布局良好、三季报超预期),另外建议关注:杉杉股份、赣锋锂业、长园集团、涪陵电力、天赐材料、创新股份、国轩高科、星源材质",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,000830,鲁西化工,"本轮双氧水价格受降雪天气影响下贸易商加紧备货推动,出现华东和华中出厂价格同时上涨,鲁西化工(000830)拥有27.5%双氧水产能20万吨/年,金禾实业(002597)拥有27.5%双氧水产能35万吨/年,受益于产品价格上,行业龙头受益显著",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,002597,金禾实业,"本轮双氧水价格受降雪天气影响下贸易商加紧备货推动,出现华东和华中出厂价格同时上涨,鲁西化工(000830)拥有27.5%双氧水产能20万吨/年,金禾实业(002597)拥有27.5%双氧水产能35万吨/年,受益于产品价格上,行业龙头受益显著",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,000830,鲁西化工,"本轮双氧水价格受降雪天气影响下贸易商加紧备货推动,出现华东和华中出厂价格同时上涨,鲁西化工(000830)拥有27.5%双氧水产能20万吨/年,金禾实业(002597)拥有27.5%双氧水产能35万吨/年,受益于产品价格上,行业龙头受益显著",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,002597,金禾实业,"本轮双氧水价格受降雪天气影响下贸易商加紧备货推动,出现华东和华中出厂价格同时上涨,鲁西化工(000830)拥有27.5%双氧水产能20万吨/年,金禾实业(002597)拥有27.5%双氧水产能35万吨/年,受益于产品价格上,行业龙头受益显著",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600028,中国石化,"国内行业龙头中国石化(600028)2017年油气当量产量达到4.46亿桶,同比2016年增长3.4%,截至2018年1月26日,中国石化(600028)动态PB为1.25,国际行业龙头公司英国石油、荷兰壳牌石油和法国道达尔公司动态PB分别为1.56、1.50和1.34,受益于国际油价不断创新高,中国石化(600028)油气资产重估带来估值修复,行业综合竞争力强",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600028,中国石化,"国内行业龙头中国石化(600028)2017年油气当量产量达到4.46亿桶,同比2016年增长3.4%,截至2018年1月26日,中国石化(600028)动态PB为1.25,国际行业龙头公司英国石油、荷兰壳牌石油和法国道达尔公司动态PB分别为1.56、1.50和1.34,受益于国际油价不断创新高,中国石化(600028)油气资产重估带来估值修复,行业综合竞争力强",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600160,巨化股份,"2018年1月27日,巨化股份(600160)发布2017年业绩预测公告,公司预计实现归母净利润8.31亿元至9.51亿元,同比增长450%至529%,巨化股份(600160)主营业务氟化工产品受国内供给侧改革影响量价齐升,实现业绩大幅增长",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600176,中国巨石,"2018年1月29日,中国巨石(600176)发布2017年业绩预告,公司预计实现归母净利润20.5亿元至21.3亿元,同比增长35%-40%;预计实现扣非后归母净利润19.9亿元至20.6亿元,同比增长36%-42%,玻纤行业高度景气,行业龙头中国巨石(600176)目前实现玻纤产能高于140万吨/年,位列国际笼统行列,公司业绩快速增长",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600160,巨化股份,"   
    巨化股份(600160):受益于国内供给侧改革影响,公司主要产品制冷剂量价齐升实现业绩高增长",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600160,巨化股份,"   
    巨化股份(600160):受益于国内供给侧改革影响,公司主要产品制冷剂量价齐升实现业绩高增长",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,国海证券,600176,中国巨石,"   
    中国巨石(600176):玻纤行业高度景气,行业龙头业绩快速增长",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,600998,九州通,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,601607,上海医药,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,603233,大参林,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,000028,国药一致,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,600998,九州通,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,601607,上海医药,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,603233,大参林,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,000028,国药一致,"此外,推荐大参林、九州通、上海医药,关注国药一致",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,300015,爱尔眼科,"口腔业务有望迈入高增长轨道,辅助生殖开始贡献利润,眼科业务布局打开估值提升空间(对比爱尔眼科,业绩年复合增速30-35%,PE55-60X),因此上调评级由“推荐”到“强烈推荐”",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,300015,爱尔眼科,"口腔业务有望迈入高增长轨道,辅助生殖开始贡献利润,眼科业务布局打开估值提升空间(对比爱尔眼科,业绩年复合增速30-35%,PE55-60X),因此上调评级由“推荐”到“强烈推荐”",webcache\20180129\webcache-20180302234700.html,sina,
2018-01-29,平安证券,300497,富祥股份,"   
    推荐富祥股份:底部确立,业绩拐点已现,“强烈推荐”",webcache\20180129\webcache-20180302234700.html,sina,
