2018-02-24,兴业证券,000661,长春高新,"长春高新(000661)业绩符合预期,未来有望持续较快增长-180209",webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,天风证券,002555,三七互娱,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,002602,世纪华通,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300113,顺网科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300315,掌趣科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,300467,迅游科技,"   
    投资建议:推荐关注腾讯(《王者荣耀》、吃鸡游戏、欢乐系列均领跑市场)、顺网科技(18Q1有望受益春节游戏推广需求及棋牌游戏春节效应)、游族网络(《天使纪元》等游戏排名及收入提升明显,H5游戏提前布局)、世纪华通(18年1月并表的FunPlus点点互动为全球领先的休闲游戏研发公司,围绕腾讯生态的盛大游戏有望18年上市)、掌趣科技(《奇迹:觉醒》以及1月18日上线自研自发新游《大掌门2》排名靠前)、三七互娱(H5游戏提前布局,亿级H5游戏证明研发及流量运营能力)、迅游科技(吃鸡游戏受益标的,腾讯战略入股速宝)",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,603377,东方时尚,"   
    推荐关注:   
    【东方时尚】作为驾校第一股,全国扩张持续推进,业务延伸拓展市场空间",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,天风证券,603377,东方时尚,"   
    推荐关注:   
    【东方时尚】作为驾校第一股,全国扩张持续推进,业务延伸拓展市场空间",webcache\20180224\webcache-20180302231813.html,sina,
2018-02-24,长江证券,600019,宝钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600507,方大特钢,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600782,新钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,000932,*ST华菱,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,002110,三钢闽光,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600019,宝钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600507,方大特钢,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600782,新钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,000932,*ST华菱,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,002110,三钢闽光,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600019,宝钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600507,方大特钢,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,600782,新钢股份,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,000932,*ST华菱,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,长江证券,002110,三钢闽光,"   
    在2017年行业大幅淘汰的边际变化中,标的选择顺序首要是挑选弹性,而在供给端陆续进入巩固稳态的前提下,优势会陆续向优质龙头集中:1、中期依然具备内生增长动力,随着ROE提升具备龙头重估潜力的宝钢股份值得重点配置;2、优秀民营企业的代表,低估值高分红的优质标的方大特钢;3、博弈三月份旺季行情,低估值高弹性的标的有新钢股份、三钢闽光、*ST华菱等也值得重点关注",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,国泰君安,603103,横店影视,推荐横店影视公司首次覆盖:先发优势与运营管理享大国效应红利,webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,国泰君安,603103,横店影视,推荐横店影视公司首次覆盖:先发优势与运营管理享大国效应红利,webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,中原证券,002439,启明星辰,"推荐启明星辰公司点评报告:业绩目标顺利完成,安全运营促长期增长",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,中原证券,002439,启明星辰,"推荐启明星辰公司点评报告:业绩目标顺利完成,安全运营促长期增长",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,方正证券,300050,世纪鼎利,"推荐世纪鼎利:ICT+职业教育双轮驱动,恰逢物联网爆发之际",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,东吴证券,600050,中国联通,"推荐中国联通:用户发展获得开门红,4G渗透率持续提升",webcache\20180224\webcache-20180302231814.html,sina,
2018-02-24,广发证券,002707,众信旅游,"推荐众信旅游:17净利润继续增长,出境游龙头受益行业回暖",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,广发证券,002707,众信旅游,"推荐众信旅游:17净利润继续增长,出境游龙头受益行业回暖",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,广发证券,002707,众信旅游,"推荐众信旅游:17净利润继续增长,出境游龙头受益行业回暖",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,600066,宇通客车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,600418,江淮汽车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,000980,众泰汽车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,002594,比亚迪,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,600066,宇通客车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,600418,江淮汽车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,000980,众泰汽车,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,太平洋证券,002594,比亚迪,"   
    2018年新能源车补贴政策正式落地,并且1月新能源车销量同比增长430%,产业进入旺季!我们继续看好新能源汽车产业投资机会,整车产业链建议关注:吉利汽车、比亚迪、江淮汽车、众泰汽车、宇通客车",webcache\20180224\webcache-20180302231815.html,sina,
2018-02-24,国元证券,002739,万达电影,"推荐游戏周报:腾讯入股盛大游戏,阿里投资万达电影",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,603019,中科曙光,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,000938,紫光股份,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,000997,新大陆,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002279,久其软件,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002405,四维图新,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002439,启明星辰,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300170,汉得信息,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300188,美亚柏科,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300271,华宇软件,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300377,赢时胜,"   
    从2017全年利润增速看,紫光股份、赢时胜、启明星辰、四维图新、新大陆、华宇软件、汉得信息、美亚柏科、久其软件、中科曙光等值得关注",webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,603019,中科曙光,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,000977,浪潮信息,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002376,新北洋,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002439,启明星辰,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300170,汉得信息,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300271,华宇软件,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300377,赢时胜,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,603019,中科曙光,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,000977,浪潮信息,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002376,新北洋,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,002439,启明星辰,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300170,汉得信息,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300271,华宇软件,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,申万宏源,300377,赢时胜,启明星辰、浪潮信息、汉得信息、华宇软件、中科曙光、赢时胜、新北洋17Q4增长较快值得关注,webcache\20180224\webcache-20180302231816.html,sina,
2018-02-24,国泰君安,600258,首旅酒店,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,国泰君安,600754,锦江股份,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,国泰君安,600258,首旅酒店,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,国泰君安,600754,锦江股份,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,国泰君安,600258,首旅酒店,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,国泰君安,600754,锦江股份,"锦江经济型酒店12月国内数据出租率继续回暖、平均房价驱动RevPAR增幅显著;③考虑经济型酒店持续复苏,中端酒店快速增长,维持酒店行业整体“增持”评级;④推荐标的:A股首旅酒店/锦江股份,美股华住酒店,H股锦江酒店",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,长江证券,600977,中国电影,"   
    中国事件跟踪:春节期间电影、旅游市场销售火爆,关注2月通胀抬升风险春节期间,中国电影、旅游市场销售火爆;蔬菜价格周环比大幅回升,高度关注2月通胀压力",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600027,华电国际,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600107,美尔雅,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600382,广东明珠,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600433,冠豪高新,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600588,用友网络,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600609,金杯汽车,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600661,新南洋,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600771,广誉远,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,600886,国投电力,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
2018-02-24,新时代证券,601788,光大证券,"个股方面,若以融资净买入额占周交易额比例作为看多指标,2018年2月12日-2月14日期间,比例前20个股分别为光大证券、广东明珠、高德红外、新南洋、用友网络、上海莱士、美尔雅、冠豪高新、中国国旅、广誉远、金正大、利源精制、国投电力、华意压缩、大冶特钢、华电国际、金杯汽车、紫鑫药业、海兰信、海普瑞,近两周可关注个股表现",webcache\20180224\webcache-20180302231817.html,sina,
