2017-12-12,招商证券      ,603638,艾迪精密 ,艾迪精密(603638)高端装备跨年推荐之二：加大与龙头企业合作-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,国金证券      ,002341,新纶科技 ,新纶科技（002341）收购阿克伦股权并成立合资公司加速柔性显示材料领域布局-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p402/                                                          ,51pdf,
2017-12-12,平安证券      ,300097,智云股份 ,智云股份（300097）显示模组设备快速增长，锂电高端装备爆发在即-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p402/                                                          ,51pdf,
2017-12-12,光大证券      ,002573,清新环境 ,清新环境（002573）员工持股彰显信心，关注非电市场拓展和电力市场运营-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p402/                                                          ,51pdf,
2017-12-12,安信证券      ,600958,东方证券 ,东方证券(600958)券商资管龙头，财富金控雏形-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,安信证券      ,002074,国轩高科 ,国轩高科(002074)配股完成，静待锂电龙头绽放-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,安信证券      ,600521,华海药业 ,华海药业(600521)管中窥豹，从阿立哌唑看美国仿制药市场变化及未来中国市场发展方向-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,安信证券      ,000983,西山煤电 ,西山煤电(000983)收购产能置换指标，产量扩张有望-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,安信证券      ,603308,应流股份 ,应流股份(603308)“两机”叶片有望量产，铸造龙头终成航空核电精兵-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,广发证券      ,600966,博汇纸业 ,博汇纸业（600966）拟定增布局纸品多元化，产能瓶颈打开奠定成长基础-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,广发证券      ,600497,驰宏锌锗 ,驰宏锌锗(600497)资源战略显成效，行业景气助腾飞-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,广发证券      ,300285,国瓷材料 ,国瓷材料（300285）拟全面收购爱尔创，打通氧化锆产业链-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/pj_1_4_183/                                                              ,51pdf,
2017-12-12,国海证券      ,600420,现代制药 ,现代制药（600420）事件点评：发行可转债突破发展瓶颈-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国海证券      ,002341,新纶科技 ,新纶科技（002341）事件点评：拟收购美国优质标的阿克伦系统公司45％股权并设立控股子公司，开启功能材料产业化新篇章-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国海证券      ,002355,兴民智通 ,兴民智通（002355）动态研究：受益国家大数据战略，进入快速发展期-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国金证券      ,600419,天润乳业 ,天润乳业（600419）资产托管解决同业竞争问题，18年疆外战略或步伐更大-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国信证券      ,300070,碧水源  ,碧水源（300070）产业链布局进一步完善，拓展到环境监测和农业畜禽处理领域-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国信证券      ,300418,昆仑万维 ,昆仑万维（300418）业绩超预期，社交媒体及内容平台战略推动公司持续成长-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,国信证券      ,002745,木林森  ,木林森（002745）LED封装龙头优势强化，LEDWANCE整合势头良好-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,华金证券      ,603129,春风动力 ,春风动力(603129)公司全地形车国外市场占有率稳居前列-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,申万宏源      ,600340,华夏幸福 ,"锦富技术(300128)智能家居产品商业落地开门红,获得华夏幸福5000套采购意向-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,申万宏源      ,300128,锦富技术 ,"锦富技术(300128)智能家居产品商业落地开门红,获得华夏幸福5000套采购意向-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,申万宏源      ,000568,泸州老窖 ,泸州老窖(000568)国窖特曲齐发力2018年再提速-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,天风证券      ,300094,国联水产 ,国联水产(300094)携手易果生鲜，强化产业布局，助力主业增长！-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,西南证券      ,600276,恒瑞医药 ,恒瑞医药（600276）吡咯替尼临床数据优异，有望加速获批上市-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,西南证券      ,002341,新纶科技 ,新纶科技（002341）雄厚人才、技术储备，新材料新贵再发力-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,西南证券      ,600352,浙江龙盛 ,浙江龙盛（600352）近期染料价格上升，关注公司-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中泰证券      ,600461,洪城水业 ,洪城水业（600461）中标首个PPP项目，污水处理业务实现省外拓展-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中泰证券      ,002009,天奇股份 ,天奇股份（002009）布局新能源电池回收，打通循环产业全产业链-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中泰证券      ,002341,新纶科技 ,新纶科技（002341）拟收购美国阿克伦公司，打造国内新材料孵化平台-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中泰证券      ,600661,新南洋  ,新南洋（600661）获中金集团及一致行动人举牌，股权结构持续优化-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中信建投      ,300070,碧水源  ,碧水源（300070）两项对外投资落地，进一步拓展业务深度和广度-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中信建投      ,603686,龙马环卫 ,龙马环卫（603686）环卫一体化PPP再落地，定增完成注入发展新活力-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/pj_1_4_184/                                                              ,51pdf,
2017-12-12,中信证券      ,002640,跨境通  ,"跨境通(002640)重大事项点评：优壹收购获批文,维持底部推荐-171211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://www.51pdf.com.cn/pj_1_4_185/                                                              ,51pdf,
2017-12-12,中信证券      ,601933,永辉超市 ,"永辉超市(601933)重大事项点评：龙头生态,非线性发展-171212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/pj_1_4_185/                                                              ,51pdf,
2017-12-12,中银国际      ,600067,冠城大通 ,冠城大通（600067）冠城瑞闽锂电池一期投产，新能源业务正式起航-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/pj_1_4_185/                                                              ,51pdf,
2017-12-12,中银国际      ,000957,中通客车 ,"1-14批推荐目录共包括285家企业的6,678款新能源车型,纯电动客车、纯电动专用车是构成目录的主力车型,南京金龙、厦门金旅、中通客车等在免税目录中占比较大"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600104,上汽集团 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600741,华域汽车 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,000887,中鼎股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002048,宁波华翔 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002126,银轮股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002472,双环传动 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600104,上汽集团 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600741,华域汽车 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,000887,中鼎股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002048,宁波华翔 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002126,银轮股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002472,双环传动 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600104,上汽集团 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600741,华域汽车 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,000887,中鼎股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002048,宁波华翔 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002126,银轮股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,002472,双环传动 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600104,上汽集团 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,600741,华域汽车 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
2017-12-12,中银国际      ,000887,中鼎股份 ,"持续推荐业绩有望持续高增长个股,如受益国产自动变速箱爆发的双环传动,业绩增长持续确定性高的上汽集团、银轮股份、宁波华翔等,此外建议关注华域汽车、中鼎股份"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/4019251/index.phtml,sina ,
